energy (meV)	absorption coefficient
299.8233473569612	3.115080286998873e-05
299.58425374985404	2.9628319343907626e-05
299.3451601427469	2.69931227235325e-05
299.10606653563974	2.449648812464044e-05
298.8669729285326	2.342494665660166e-05
298.62787932142544	2.35035355503021e-05
298.3887857143183	2.3985190620226047e-05
298.14969210721114	2.4939019898349742e-05
297.9105985001039	2.6465349395532988e-05
297.6715061328388	2.740971216703388e-05
297.43241252573165	2.6594915187165787e-05
297.1933189186244	2.4867764979276285e-05
296.9542253115173	2.3938614567951566e-05
296.7151317044101	2.4185579742467482e-05
296.47603809730293	2.5075183716355313e-05
296.2369444901958	2.7335602485705102e-05
295.99785088308863	3.25590335687518e-05
295.7587572759815	4.08187148154179e-05
295.51966366887433	5.048324822829554e-05
295.28057006176715	6.022726023128963e-05
295.04147645466	7.133958674141022e-05
294.80238284755285	8.61740172626899e-05
294.5632892404457	0.00010541805190307396
294.32419563333855	0.00013051426797663164
294.08510202623137	0.00016482766042122672
293.8460084191242	0.00020755377878820097
293.606914812017	0.0002464111042475379
293.3678212049099	0.00027231766495416443
293.1287275978027	0.0002941126198941561
292.8896339906956	0.00031647978141263153
292.6505403835884	0.000326490783643631
292.4114467764812	0.0003094764764807908
292.1723531693741	0.00027570013434124704
291.9332595622669	0.00023585881627926936
291.6941659551598	0.0001865955780737683
291.4550723480526	0.00014625906004690713
291.21597874094545	0.00013216937352225839
290.9768851338383	0.00014820745982586087
290.7377915267311	0.00019169007806715685
290.49869791962396	0.00022716638458416348
290.2596043125168	0.00022066532766752616
290.0205107054096	0.00019976370485547695
289.7814170983025	0.00019846468840727715
289.5423234911953	0.00021524299042675245
289.3032298840882	0.00023340943879022016
289.064136276981	0.00024111091999726625
288.8250426698739	0.00023077087384757502
288.5859490627667	0.00020896763933725052
288.3468554556595	0.00018652608753526193
288.1077618485524	0.00016301585748895858
287.8686682414452	0.00013818830011025186
287.6295746343381	0.00011826786076926835
287.3904822670729	0.00010499162268518023
287.15138865996573	9.474832498527077e-05
286.91229505285855	8.624209737435419e-05
286.6732014457514	8.101755623763085e-05
286.4341078386442	8.008286174258468e-05
286.1950142315371	8.158229930296869e-05
285.9559206244299	8.177466716782811e-05
285.7168270173227	7.830841879643232e-05
285.4777334102156	7.200001349269795e-05
285.2386398031084	6.486390555042193e-05
284.9995461960013	5.7356493468933594e-05
284.7604525888941	4.935592589674069e-05
284.521358981787	4.235811661238395e-05
284.2822653746798	3.761958512304102e-05
284.04317176757263	3.387207296658939e-05
283.8040781604655	3.0033023845139474e-05
283.5649845533583	2.6670656033550953e-05
283.32589094625115	2.421182631502975e-05
283.08679733914397	2.336020125083472e-05
282.8477037320368	2.4594074559349958e-05
282.60861012492967	2.7111289461485714e-05
282.3695165178225	3.0274635677651456e-05
282.13042291071537	3.395899048075661e-05
281.8913293036082	3.832751972290672e-05
281.652235696501	4.293252386654268e-05
281.4131420893939	4.645117158939726e-05
281.1740484822867	4.9271838173648736e-05
280.9349548751796	5.215953307916926e-05
280.6958612680724	5.407119682378135e-05
280.4567676609652	5.507431276974581e-05
280.21767405385805	5.622570616387532e-05
279.97858044675087	5.749207083329623e-05
279.73948683964375	5.8723679108881e-05
279.50039323253657	6.002616846394702e-05
279.26129962542944	6.147237024405255e-05
279.02220601832227	6.256833684551588e-05
278.7831124112151	6.248903672774387e-05
278.54401880410796	6.146800601341222e-05
278.3049251970008	6.013911936968213e-05
278.06583158989366	5.8374451963314004e-05
277.8267379827865	5.620273064164066e-05
277.5876443756793	5.4255138836946085e-05
277.3485507685722	5.234811263933098e-05
277.10945716146495	5.011549043192524e-05
276.8703647941998	4.829583128510676e-05
276.6312711870927	4.7036246165717444e-05
276.39217757998546	4.5512383237249166e-05
276.15308397287833	4.3585263042362194e-05
275.91399036577116	4.2154215454109696e-05
275.674896758664	4.1814690140855125e-05
275.43580315155685	4.198854963557931e-05
275.1967095444497	4.236183759517612e-05
274.95761593734255	4.340409712659225e-05
274.7185223302354	4.49031522216867e-05
274.4794287231282	4.644323380341365e-05
274.2403351160211	4.8531067920692264e-05
274.0012415089139	5.0876715526308206e-05
273.76214790180677	5.2048670460073155e-05
273.5230542946996	5.203095129181896e-05
273.28396068759236	5.243811683682931e-05
273.04486708048523	5.4079494724950285e-05
272.80577347337805	5.5848345189002366e-05
272.56667986627093	5.686690205580046e-05
272.32758625916375	5.768391575703878e-05
272.08849265205663	5.8317059859628075e-05
271.84939904494945	5.787935495398627e-05
271.61030543784227	5.6226275358978044e-05
271.37121183073515	5.4467295770749254e-05
271.13211822362797	5.33903732986427e-05
270.89302461652085	5.2325981593883e-05
